date,description,amount
2026-07-12,UBER *TRIP HELP.UBER.COM,28.81
2026-07-14,PP*PELOTON INTERAKTIV,44.00
2026-07-14,WEGMANS #33,65.74
2026-07-15,WEGMANS #33,48.38
2026-07-16,TRADER JOE'S #142,72.27
2026-07-16,SWEETGREEN DTLA,33.05
2026-07-17,WHOLE FOODS MKT,49.30
2026-07-18,ADOBE CREATIVE CLOUD,54.99
2026-07-18,SAFEWAY #221,44.46
2026-07-18,STARBUCKS #4471,14.54
2026-07-18,WALMART.COM,106.56
2026-07-19,TRADER JOE'S #142,109.10
2026-07-19,COSTCO WHSE #221,165.18
2026-07-21,SAFEWAY #221,120.28
2026-07-22,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-07-22,SHELL OIL 57443921,43.47
2026-07-22,UBER *TRIP HELP.UBER.COM,31.42
2026-07-23,WHOLE FOODS MKT,67.54
2026-07-24,LYFT *RIDE THU,15.73
2026-07-26,WHOLE FOODS MKT,73.97
2026-07-26,UBER *TRIP HELP.UBER.COM,20.83
2026-07-27,NETFLIX.COM 866-579-7172,15.99
2026-07-27,CHIPOTLE 2214,15.83
2026-07-28,WHOLE FOODS MKT,64.08
2026-07-28,COSTCO WHSE #221,52.90
2026-07-30,WEGMANS #33,94.02
2026-07-30,CHEVRON 00219,56.03
2026-07-30,STARBUCKS #4471,35.67
2026-07-31,NYT DIGITAL SUBSCRIPTION,51.00
2026-07-31,WHOLE FOODS MKT,126.37
2026-08-01,TRADER JOE'S #142,83.72
2026-08-01,CHEVRON 00219,33.25
2026-08-02,EXXON MOBIL 88213,38.22
2026-08-03,GEICO INSURANCE,142.00
2026-08-03,SAFEWAY #221,37.17
2026-08-03,SWEETGREEN DTLA,36.53
2026-08-04,EXXON MOBIL 88213,52.03
2026-08-05,CHEVRON 00219,54.43
2026-08-06,SPOTIFY USA,11.99
2026-08-06,WHOLE FOODS MKT,136.22
2026-08-06,STARBUCKS #4471,37.63
2026-08-07,AMAZON PRIME MEMBERSHIP,139.00
2026-08-07,SAFEWAY #221,94.93
2026-08-07,LOCAL COFFEE CO,13.75
2026-08-08,WEGMANS #33,108.79
2026-08-08,EXXON MOBIL 88213,65.15
2026-08-08,LYFT *RIDE THU,18.15
2026-08-09,SQ *PLANET FITNESS #4021,24.99
2026-08-10,LOCAL COFFEE CO,28.96
2026-08-10,LYFT *RIDE THU,15.86
2026-08-12,WEGMANS #33,111.02
2026-08-13,TRADER JOE'S #142,125.93
2026-08-13,EXXON MOBIL 88213,33.82
